****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
236 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000758029
237 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -12233.3	(delta): 0.00110472
238 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00133196
239 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00315161
240 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00666101
241 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000665263
242 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000288761
243 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000328665
244 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000373771
245 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000422926
246 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000474022
247 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000523869
248 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000568313
249 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000602673
250 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000622555
251 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000624886
252 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000608862
253 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000576392
254 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000584903
255 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12233.3	(delta): 0.000413518
256 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00216372
257 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000218806
258 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00290356
259 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00473394
260 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12233.3	(delta): 0.000107653
261 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 8.82255e-05
Summary: 
Converged in 261 iterations (6.069 sec)
Loglikelihood: -12233.279489
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7	Pop8	
Pop0	
Pop1	0.509	
Pop2	0.141	0.474	
Pop3	0.455	0.402	0.427	
Pop4	0.467	0.501	0.439	0.434	
Pop5	0.132	0.479	0.100	0.431	0.444	
Pop6	0.227	0.562	0.197	0.510	0.530	0.187	
