****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
183 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11582.2	(delta): 1.37828
184 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11581.5	(delta): 0.658638
185 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11581	(delta): 0.51239
186 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11580.3	(delta): 0.713789
187 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11580	(delta): 0.275661
188 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11579.2	(delta): 0.865132
189 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11578.5	(delta): 0.67314
190 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11578.3	(delta): 0.178363
191 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11578.1	(delta): 0.193592
192 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11577.7	(delta): 0.475313
193 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11576.8	(delta): 0.812853
194 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11575.9	(delta): 0.919546
195 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11575	(delta): 0.974496
196 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11574.4	(delta): 0.558939
197 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11574.3	(delta): 0.140742
198 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11574.1	(delta): 0.108266
199 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.9	(delta): 0.237873
200 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.5	(delta): 0.436496
201 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.2	(delta): 0.230701
202 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.2	(delta): 0.0105978
203 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.2	(delta): 0.00962107
204 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.2	(delta): 0.0155904
205 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.2	(delta): 0.0229482
206 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.0339679
207 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.0269064
208 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.00832955
209 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.0204061
210 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.0164622
211 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.016409
212 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573.1	(delta): 0.00748383
213 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573	(delta): 0.020837
214 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573	(delta): 0.0105969
215 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573	(delta): 0.0309193
216 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573	(delta): 0.00586657
217 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573	(delta): 0.0158557
218 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11573	(delta): 0.00995665
219 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.8	(delta): 0.136931
220 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.8	(delta): 0.00548387
221 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.8	(delta): 0.00871208
222 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.8	(delta): 0.00790332
223 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.8	(delta): 0.0210554
224 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.8	(delta): 0.0221261
225 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.7	(delta): 0.0396314
226 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.7	(delta): 0.00367513
227 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.7	(delta): 0.0147572
228 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.7	(delta): 0.0218204
229 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.6	(delta): 0.100499
230 (QN/EM) 	Elapsed: 0.025	Loglikelihood: -11572.6	(delta): 0.00226957
231 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.6	(delta): 0.00795654
232 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.6	(delta): 0.0150126
233 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.5	(delta): 0.0499409
234 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.5	(delta): 0.0261217
235 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.5	(delta): 0.00654898
236 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.4	(delta): 0.0249725
237 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.4	(delta): 0.0256142
238 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.3	(delta): 0.0726065
239 (QN/EM) 	Elapsed: 0.025	Loglikelihood: -11572.3	(delta): 0.00202142
240 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.3	(delta): 0.00464349
241 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.3	(delta): 0.0129857
242 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.2	(delta): 0.144128
243 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.2	(delta): 0.0095473
244 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.2	(delta): 0.0053877
245 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.2	(delta): 0.0013232
246 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.2	(delta): 0.00125062
247 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.2	(delta): 0.00277227
248 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.2	(delta): 0.00442988
249 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.2	(delta): 0.000517972
250 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.2	(delta): 0.00147999
251 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.2	(delta): 0.00125775
252 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.00374896
253 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000250898
254 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.0013309
255 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.00108582
256 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000218025
257 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000884548
258 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000222428
259 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000202196
260 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000374723
261 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000245339
262 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000684059
263 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000206346
264 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.000283856
265 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11572.1	(delta): 0.00143061
266 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11572.1	(delta): 0.000133031
